,Wind Farm,Region,Power per Turbine (MW),No. Turbines Installed,Installed Capacity (MW),Year Online,Developer,Operator,Owner,Country,lat,long,Wind Farm count,Turbine Manufacturer,Turbine Model,State
38,Haverigg windcluster[3],Cumbria,0.22,5,1.1,2004,Windcluster Ltd,not reported,not reported,England,54.20083,-3.32917,1,Vestas,V27,United Kingdom
39,Haverigg II,Cumbria,0.6,4,2.4,1998,The Wind Company,Energy4All,Triodos Renewables,England,54.20083,-3.32917,1,World,W600,United Kingdom
40,Haverigg III,Cumbria,0.85,4,3.4,2005,Windcluster Ltd,Wind Prospect,Windcluster Ltd,England,54.20083,-3.32917,1,Vestas,V52,United Kingdom
41,Kirkby Moor,Cumbria,0.4,12,4.8,1993,npower renewables,Innogy,Beaufort Wind Limited,England,54.24611,-3.15222,1,Vestas,WD34,United Kingdom
42,Lambrigg,Cumbria,1.3,5,6.5,2000,npower renewables,Innogy,Beaufort Wind Limited,England,54.33528,-2.63833,1,Bonus,B1300,United Kingdom
43,Lowca,Cumbria,0.66,7,4.62,2000,E.ON UK Renewables,B9 Energy,E.ON Renewables,England,54.59278,-3.57583,1,Vestas,V47,United Kingdom
44,Oldside,Cumbria,0.6,9,5.4,1996,E.ON UK Renewables,B9 Energy,E.ON Renewables,England,54.65944,-3.55944,1,Vestas,V42,United Kingdom
45,Siddick,Cumbria,0.6,7,4.2,1996,E.ON UK Renewables,B9 Energy,E.ON Renewables,England,54.67111,-3.54306,1,Vestas,V42,United Kingdom
46,Wharrels Hill,Cumbria,1.3,8,10.4,2007,Wind Prospect,not reported,Wharrels Hill LLP,England,54.72667,-3.2825,1,Nordex,N60,United Kingdom
47,Winscales Moor,Cumbria,0.85,7,5.95,2009,Your Energy,Engineering Renewables,Winscales Moor Wind Farm Ltd,England,54.64222,-3.49694,1,Vestas,V52,United Kingdom
48,Winscales,Cumbria,0.66,3,1.98,1999,K/S Winscales,Cumbria Wind Farms,K/S Winscales,England,54.86417,-3.0875,1,Vestas,V47,United Kingdom
49,Winscales Extension,Cumbria,0.85,8,6.8,2005,K/S Winscales,Cumbria Wind Farms,K/S Winscales,England,54.86417,-3.0875,1,Vestas,V52,United Kingdom
50,WWU High Pow,Cumbria,1.3,3,3.9,2007,REG Windpower,not reported,not reported,England,54.78083,-3.15972,1,Nordex,N60,United Kingdom
51,Hellrigg,Cumbria,2.3,4,9.2,2011,RWE nPower renewables,not reported,not reported,England,54.84716611,-3.34728389,1,not reported,not reported,United Kingdom
52,Carsington Pasture,Derbyshire,2.5,4,10,2014,West Coast Energy,Carsington Wind Energy Ltd,not reported,England,53.086547,-1.63112,1,not reported,not reported,United Kingdom
53,Forestmoor,Devon,1,3,2.7,2005,Energiekontor,Energiekontor,Energiekontor,England,50.89417,-4.41583,1,Vestas,NM60,United Kingdom
54,Fraisthorpe,East Riding of Yorkshire,3.3,9,29.7,2016,BayWa,BayWa,Octopus Investments,England,54.05056,-0.22944,1,not reported,V112-3.3,United Kingdom
55,Goole Fields 1,East Riding of Yorkshire,2.05,16,32.8,2014,RWE,RWE,RWE,England,53.68278,-0.79472,1,Senvion,MM92,United Kingdom
56,Goole Fields 2,East Riding of Yorkshire,2.05,17,34.85,2017,RWE,RWE,RWE,England,53.68278,-0.79472,1,Senvion,MM92,United Kingdom
57,Hall Farm,East Riding of Yorkshire,2.05,12,24.6,2013,Blue Energy,not reported,John Laing Investments,England,53.867167,-0.371056,1,REpower,MM82,United Kingdom
58,Lissett Airfield,East Riding of Yorkshire,2.5,12,30,2009,Novera,not reported,not reported,England,54.00972,-0.25417,1,Nordex,N90,United Kingdom
